Partido,Fase,Duracion,Ganador,Primera Torre Ganador,Numero de Torres Derribadas Ganador,Numero total de Dragones Ganador,Dragones de Viento Ganador,Dragones de Ocenado Ganador,Dragones de Montaña Ganador,Dragones Infernales Ganador,Dragones Ancianos Ganador,Numero de Barones Nashor Ganador,Primera Sangre Ganador,Oro Ganador,Region Ganador,Lado del mapa Ganador,Asesinatos Ganador, Muertes Ganador, Asesinatos/Muertes Ganador,Perdedor,Primera Torre Perdedor,Numero de Torres Derribadas Perdedor,Numero total de Dragones Perdedor,Dragones de Viento Perdedor,Dragones de Ocenado Perdedor,Dragones de Montaña Perdedor,Dragones Infernales Perdedor,Dragones Ancianos Perdedor,Numero de Barones Nashor Perdedor,Primera Sangre Perdedor,Oro Perdedor,Region Perdedor,Lado del mapa Perdedor,Asesinatos Perdedor, Muertes Perdedor, Asesinatos/Muertes Perdedor
RNG vs CG,Group Phase,1883,Royal Never Give Up,1,11,2,2,0,0,0,0,1,0,61.8,CN,azul,12,5.0,2.4,Clutch Gaming,0,1,2,1,0,1,0,0,0,1,47.8,NA,rojo,5,12.0,0.41666666
Fnatic vs SKT,Group Phase,2143,SK Telecom T1,1,9,4,1,2,1,0,0,1,1,71.6,KR,rojo,21,9.0,2.3333333,Fnatic,0,3,0,0,0,0,0,0,0,0,63.4,EUW,azul,9,21.0,0.42857143
Splyce vs UOL - Game 1,Play In,2732,Unicorns Of Love,1,11,3,0,0,1,0,2,2,0,87.6,CIS,azul,22,26.0,0.84615386,Splyce,0,6,4,0,1,1,2,0,2,1,86.0,EUW,rojo,26,22.0,1.1818181
Splyce vs UOL - Game 2,Play In,1894,Unicorns Of Love,0,2,2,0,1,1,0,0,0,1,50.9,CIS,rojo,10,25.0,0.4,Splyce,1,10,2,1,1,0,0,0,2,0,64.6,EUW,azul,25,10.0,2.5
Splyce vs UOL - Game 3,Play In,1830,Unicorns Of Love,0,2,0,0,0,0,0,0,0,0,49.1,CIS,rojo,11,18.0,0.6111111,Splyce,1,10,4,3,0,1,0,0,1,1,61.6,EUW,azul,18,11.0,1.6363636
Splyce vs UOL - Game 4,Play In,2530,Unicorns Of Love,1,11,5,0,3,0,1,1,1,1,81.2,CIS,azul,25,12.0,2.0833333,Splyce,0,3,1,0,0,1,0,0,2,0,72.4,EUW,rojo,12,25.0,0.48
Splyce vs UOL - Game 5,Play In,2271,Unicorns Of Love,1,3,2,1,0,0,1,0,1,1,64.7,CIS,rojo,9,20.0,0.45,Splyce,0,9,4,2,0,1,0,1,1,0,72.2,EUW,azul,20,9.0,2.2222223
HKA vs ISG - Game 1,Play In,1676,Hong Kong Attitude,1,11,4,1,1,2,0,0,1,0,59.1,TW,azul,11,4.0,2.75,Isurus Gaming,0,1,0,0,0,0,0,0,0,1,42.7,LAT,rojo,4,11.0,0.36363637
HKA vs ISG - Game 2,Play In,1981,Hong Kong Attitude,0,1,0,0,0,0,0,0,0,0,54.9,TW,rojo,5,14.0,0.35714287,Isurus Gaming,1,10,5,0,0,2,3,0,1,1,65.2,LAT,azul,14,5.0,2.8
HKA vs ISG - Game 3,Play In,2421,Hong Kong Attitude,1,10,5,2,0,1,1,1,2,0,76.9,TW,azul,13,12.0,1.0833334,Isurus Gaming,0,5,2,1,0,1,0,0,0,1,69.7,LAT,rojo,12,13.0,0.9230769
HKA vs ISG - Game 4,Play In,2202,Isurus Gaming,0,3,3,1,0,0,1,1,0,0,63.0,LAT,azul,7,6.0,1.1666666,Hong Kong Attitude,1,10,3,2,0,1,0,0,1,1,68.1,TW,rojo,6,7.0,0.85714287
CG vs Royal Youth - Game 1,Play In,1799,Clutch Gaming,1,8,2,0,1,1,0,0,1,1,57.2,NA,azul,13,6.0,2.1666667,Royal Youth,0,1,2,0,0,0,2,0,0,0,46.4,TR,rojo,6,13.0,0.46153846
CG vs Royal Youth - Game 2,Play In,1658,Clutch Gaming,1,8,3,3,0,0,0,0,1,0,57.4,NA,azul,21,9.0,2.3333333,Royal Youth,0,2,0,0,0,0,0,0,0,1,44.6,TR,rojo,9,21.0,0.42857143
CG vs Royal Youth - Game 3,Play In,2219,Clutch Gaming,1,11,6,0,3,1,2,0,2,1,75.0,NA,azul,19,7.0,2.7142856,Royal Youth,0,3,0,0,0,0,0,0,0,0,60.0,TR,rojo,7,19.0,0.36842105
DWG vs LK - Game 1,Play In,2500,Lowkey Esports.Vietnam,1,10,2,0,0,1,0,1,2,1,75.6,VN,azul,16,25.0,0.64,DAMWON Gaming,0,7,4,1,0,0,3,0,0,0,78.4,KR,rojo,25,16.0,1.5625
DWG vs LK - Game 2,Play In,1573,Lowkey Esports.Vietnam,0,0,1,0,0,0,1,0,0,1,39.8,VN,rojo,3,11.0,0.27272728,DAMWON Gaming,1,8,3,0,0,2,1,0,1,0,49.4,KR,azul,11,3.0,3.6666667
DWG vs LK - Game 3,Play In,1986,Lowkey Esports.Vietnam,0,2,1,0,0,1,0,0,0,1,56.6,VN,rojo,14,14.0,1.0,DAMWON Gaming,1,11,3,1,0,2,0,0,2,0,66.9,KR,azul,14,14.0,1.0
DWG vs LK - Game 4,Play In,1363,DAMWON Gaming,1,10,3,1,0,1,1,0,1,1,49.6,KR,rojo,13,2.0,6.5,Lowkey Esports.Vietnam,0,0,0,0,0,0,0,0,0,0,32.2,VN,azul,2,13.0,0.15384616
FLA vs Royal Youth,Play In,1674,Royal Youth,1,11,3,0,2,1,0,0,1,1,54.3,TR,azul,15,5.0,3.0,Flamengo eSports,0,1,0,0,0,0,0,0,0,0,40.5,BR,rojo,5,15.0,0.33333334
LK vs HKA,Play In,1822,Hong Kong Attitude,1,10,4,1,1,0,2,0,2,1,62.8,TW,rojo,13,2.0,6.5,Lowkey Esports.Vietnam,0,4,0,0,0,0,0,0,0,0,48.5,VN,azul,2,13.0,0.15384616
FLA vs Royal Youth,Play In,2434,Royal Youth,1,11,4,0,1,2,0,1,2,1,79.5,TR,rojo,18,12.0,1.5,Flamengo eSports,0,3,2,1,0,1,0,0,0,0,70.0,BR,azul,12,18.0,0.6666667
LK vs MEGA,Play In,2049,Lowkey Esports.Vietnam,0,7,2,1,1,0,0,0,1,1,63.2,VN,azul,17,9.0,1.8888888,MEGA,1,4,1,0,1,0,0,0,0,0,58.0,SEA,rojo,9,17.0,0.5294118
FLA vs DWG,Play In,1692,DAMWON Gaming,1,11,3,3,0,0,0,0,1,0,57.6,KR,rojo,17,6.0,2.8333333,Flamengo eSports,0,2,0,0,0,0,0,0,0,1,45.4,BR,azul,6,17.0,0.3529412
HKA vs MEGA,Play In,2365,Hong Kong Attitude,0,9,3,2,0,0,1,0,1,0,71.7,TW,azul,13,10.0,1.3,MEGA,1,4,3,0,3,0,0,0,0,1,64.6,SEA,rojo,10,13.0,0.7692308
DWG vs Royal Youth,Play In,1837,DAMWON Gaming,0,9,5,0,2,3,0,0,1,0,60.7,KR,azul,15,8.0,1.875,Royal Youth,1,2,0,0,0,0,0,0,0,1,48.5,TR,rojo,8,15.0,0.53333336
CG vs UOL,Play In,1862,Clutch Gaming,1,11,4,0,1,2,1,0,1,1,64.4,NA,azul,27,11.0,2.4545455,Unicorns Of Love,0,0,0,0,0,0,0,0,1,0,52.2,CIS,rojo,11,27.0,0.4074074
UOL vs MMM,Play In,1703,Unicorns Of Love,1,7,3,2,0,0,1,0,1,1,52.6,CIS,rojo,15,1.0,15.0,Mammoth eSports,0,2,1,0,0,1,0,0,0,0,42.2,OCE,azul,1,15.0,0.06666667
ISG vs Splyce,Play In,2336,Splyce,0,9,2,1,0,0,1,0,2,0,76.6,EUW,rojo,20,17.0,1.1764706,Isurus Gaming,1,4,2,2,0,0,0,0,0,1,68.8,LAT,azul,17,20.0,0.85
CG vs MMM,Play In,1476,Clutch Gaming,1,10,2,0,2,0,0,0,1,1,49.5,NA,azul,13,4.0,3.25,Mammoth eSports,0,0,1,0,0,0,1,0,0,0,37.5,OCE,rojo,4,13.0,0.30769232
ISG vs DFM,Play In,3805,Isurus Gaming,1,11,4,1,0,0,1,2,2,1,112.7,LAT,azul,21,16.0,1.3125,Detonation FocusMe,0,6,4,1,2,0,0,1,2,0,104.0,JP,rojo,16,21.0,0.7619048
UOL vs MMM,Play In,2470,Mammoth eSports,0,7,2,0,1,0,0,1,1,1,74.2,OCE,rojo,16,10.0,1.6,Unicorns Of Love,1,9,4,1,1,0,2,0,0,0,67.8,CIS,azul,10,16.0,0.625
Splyce vs DFM,Play In,2020,Detonation FocusMe,1,9,2,0,0,1,1,0,1,1,63.0,JP,rojo,18,8.0,2.25,Splyce,0,2,2,0,0,2,0,0,0,0,54.4,EUW,azul,8,18.0,0.44444445
UOL vs CG,Play In,2333,Unicorns Of Love,0,0,1,0,0,0,1,0,0,0,70.6,CIS,azul,14,4.0,3.5,Clutch Gaming,0,0,1,0,0,0,1,0,0,1,64.2,NA,rojo,4,14.0,0.2857143
HKA vs LK,Play In,1801,Lowkey Esports.Vietnam,0,9,3,1,0,1,1,0,1,0,57.4,VN,rojo,20,9.0,2.2222223,Hong Kong Attitude,1,3,0,0,0,0,0,0,0,1,50.0,TW,azul,9,20.0,0.45
Royal Youth vs FLA,Play In,1457,Flamengo eSports,1,9,3,0,1,0,2,0,1,0,48.8,BR,rojo,14,3.0,4.6666665,Royal Youth,0,2,0,0,0,0,0,0,0,1,37.1,TR,azul,3,14.0,0.21428572
MEGA vs LK,Play In,2402,MEGA,0,8,3,1,2,0,0,0,1,0,75.9,SEA,azul,21,19.0,1.1052631,Lowkey Esports.Vietnam,1,5,1,0,1,0,0,0,1,1,73.8,VN,rojo,19,21.0,0.9047619
DWG vs FLA,Play In,1808,DAMWON Gaming,1,11,3,1,1,1,0,0,1,1,63.8,KR,azul,22,11.0,2.0,Flamengo eSports,0,0,1,1,0,0,0,0,0,0,48.2,BR,rojo,11,22.0,0.5
MEGA vs HKA,Play In,2055,Hong Kong Attitude,0,8,0,0,0,0,0,0,1,0,62.3,TW,rojo,7,3.0,2.3333333,MEGA,1,4,4,1,0,2,1,0,0,1,56.1,SEA,azul,3,7.0,0.42857143
Royal Youth vs DWG,Play In,2078,DAMWON Gaming,1,9,4,0,3,0,1,0,1,0,68.6,KR,rojo,17,12.0,1.4166666,Royal Youth,0,2,1,0,0,0,1,0,0,1,56.1,TR,azul,12,17.0,0.7058824
Splyce vs ISG,Play In,1809,Splyce,1,11,4,0,1,0,3,0,1,0,56.9,EUW,azul,13,5.0,2.6,Isurus Gaming,0,0,0,0,0,0,0,0,0,1,45.4,LAT,rojo,5,13.0,0.3846154
MMM vs CG,Play In,2341,Clutch Gaming,1,10,5,0,3,0,1,1,1,0,72.0,NA,rojo,10,2.0,5.0,Mammoth eSports,0,1,1,0,0,0,1,0,1,1,60.0,OCE,azul,2,10.0,0.2
DFM vs ISG,Play In,2369,Isurus Gaming,1,9,4,1,3,0,0,0,1,1,75.0,LAT,rojo,16,12.0,1.3333334,Detonation FocusMe,0,3,1,0,0,1,0,0,0,0,64.5,JP,azul,12,16.0,0.75
MMM vs UOL,Play In,2255,Mammoth eSports,1,9,4,0,2,1,1,0,1,0,69.1,OCE,azul,18,8.0,2.25,Unicorns Of Love,0,2,0,0,0,0,0,0,0,1,60.3,CIS,rojo,8,18.0,0.44444445
DFM vs Splyce,Play In,1592,Splyce,1,10,2,1,1,0,0,0,1,1,56.7,EUW,rojo,22,7.0,3.142857,Detonation FocusMe,0,1,1,1,0,0,0,0,0,0,41.2,JP,azul,7,22.0,0.3181818
CG vs UOL,Play In,2284,Unicorns Of Love,1,11,4,2,0,1,1,0,2,0,68.6,CIS,rojo,16,8.0,2.0,Clutch Gaming,0,3,0,0,0,0,0,0,0,1,61.9,NA,azul,8,16.0,0.5
