Partido,Fase,Duracion,Ganador,Primera Torre Ganador,Numero de Torres Derribadas Ganador,Numero total de Dragones Ganador,Dragones de Viento Ganador,Dragones de Ocenado Ganador,Dragones de Montaña Ganador,Dragones Infernales Ganador,Dragones Ancianos Ganador,Numero de Barones Nashor Ganador,Primera Sangre Ganador,Oro Ganador,Region Ganador,Lado del mapa Ganador,Asesinatos Ganador, Muertes Ganador, Asesinatos/Muertes Ganador,Perdedor,Primera Torre Perdedor,Numero de Torres Derribadas Perdedor,Numero total de Dragones Perdedor,Dragones de Viento Perdedor,Dragones de Ocenado Perdedor,Dragones de Montaña Perdedor,Dragones Infernales Perdedor,Dragones Ancianos Perdedor,Numero de Barones Nashor Perdedor,Primera Sangre Perdedor,Oro Perdedor,Region Perdedor,Lado del mapa Perdedor,Asesinatos Perdedor, Muertes Perdedor, Asesinatos/Muertes Perdedor
HKA vs ISG - Game 3,playIn,2421,Hong Kong Attitude,1,10,5,2,0,1,1,1,2,0,76900,TW,azul,13,12.0,1.0833334,Isurus Gaming,0,5,2,1,0,1,0,0,0,1,69700,LAT,rojo,12,13.0,0.9230769
HKA vs ISG - Game 4,playIn,2202,Isurus Gaming,0,3,3,1,0,0,1,1,0,0,63000,LAT,azul,7,6.0,1.1666666,Hong Kong Attitude,1,10,3,2,0,1,0,0,1,1,68100,TW,rojo,6,7.0,0.85714287
CG vs Royal Youth - Game 1,playIn,1799,Clutch Gaming,1,8,2,0,1,1,0,0,1,1,57200,NA,azul,13,6.0,2.1666667,Royal Youth,0,1,2,0,0,0,2,0,0,0,46400,TR,rojo,6,13.0,0.46153846
CG vs Royal Youth - Game 2,playIn,1658,Clutch Gaming,1,8,3,3,0,0,0,0,1,0,57400,NA,azul,21,9.0,2.3333333,Royal Youth,0,2,0,0,0,0,0,0,0,1,44600,TR,rojo,9,21.0,0.42857143
CG vs Royal Youth - Game 3,playIn,2219,Clutch Gaming,1,11,6,0,3,1,2,0,2,1,75000,NA,azul,19,7.0,2.7142856,Royal Youth,0,3,0,0,0,0,0,0,0,0,60000,TR,rojo,7,19.0,0.36842105
DWG vs LK - Game 1,playIn,2500,Lowkey Esports.Vietnam,1,10,2,0,0,1,0,1,2,1,75600,VN,azul,16,25.0,0.64,DAMWON Gaming,0,7,4,1,0,0,3,0,0,0,78400,KR,rojo,25,16.0,1.5625
DWG vs LK - Game 2,playIn,1573,Lowkey Esports.Vietnam,0,0,1,0,0,0,1,0,0,1,39800,VN,rojo,3,11.0,0.27272728,DAMWON Gaming,1,8,3,0,0,2,1,0,1,0,49400,KR,azul,11,3.0,3.6666667
DWG vs LK - Game 3,playIn,1986,Lowkey Esports.Vietnam,0,2,1,0,0,1,0,0,0,1,56600,VN,rojo,14,14.0,1.0,DAMWON Gaming,1,11,3,1,0,2,0,0,2,0,66900,KR,azul,14,14.0,1.0
DWG vs LK - Game 4,playIn,1363,DAMWON Gaming,1,10,3,1,0,1,1,0,1,1,49600,KR,rojo,13,2.0,6.5,Lowkey Esports.Vietnam,0,0,0,0,0,0,0,0,0,0,32200,VN,azul,2,13.0,0.15384616
FLA vs Royal Youth,playIn,1674,Royal Youth,1,11,3,0,2,1,0,0,1,1,54300,TR,azul,15,5.0,3.0,Flamengo eSports,0,1,0,0,0,0,0,0,0,0,40500,BR,rojo,5,15.0,0.33333334
